cia_id,cia_nome,doc_ver,doc_env,per_ini,per_fim,total_assets,shares_outstanding,net_debt,ebit,roic
94,PANATLANTICA S.A.,1,2011-03-31 10:16:48,2010-01-01,2010-12-31,278858000.0,8856000.0,-18981000.0,24777000.0,0.2000985269414653
94,PANATLANTICA S.A.,1,2012-03-20 15:20:37,2011-01-01,2011-12-31,294757000.0,9480000.0,-46182000.0,8720000.0,0.07757040937961464
94,PANATLANTICA S.A.,1,2013-03-08 16:12:09,2012-01-01,2012-12-31,345354000.0,9778000.0,-27881000.0,15767000.0,0.10785722103650194
94,PANATLANTICA S.A.,1,2014-03-18 10:38:57,2013-01-01,2013-12-31,582407000.0,12587000.0,28682000.0,68165000.0,0.21980909999677534
94,PANATLANTICA S.A.,1,2015-03-05 10:31:43,2014-01-01,2014-12-31,635008000.0,16313000.0,21597000.0,23799000.0,0.07268445983709446
94,PANATLANTICA S.A.,1,2016-03-18 09:45:41,2015-01-01,2015-12-31,643375000.0,16510000.0,29584000.0,22313000.0,0.06439817019495793
94,PANATLANTICA S.A.,1,2017-03-17 09:13:26,2016-01-01,2016-12-31,753713000.0,17451000.0,31289000.0,28238000.0,0.07760741170294924
94,PANATLANTICA S.A.,1,2018-02-26 08:59:18,2017-01-01,2017-12-31,780950000.0,17636000.0,61617000.0,38411000.0,0.09340038078934762
94,PANATLANTICA S.A.,1,2019-02-28 10:52:23,2018-01-01,2018-12-31,895309000.0,17839000.0,87985000.0,70435000.0,0.1403694425678032
94,PANATLANTICA S.A.,1,2020-02-28 10:03:59,2019-01-01,2019-12-31,955559000.0,18270000.0,27593000.0,41713000.0,0.09188715280454843
94,PANATLANTICA S.A.,1,2021-02-26 08:24:46,2020-01-01,2020-12-31,1369593000.0,18270000.0,-32373000.0,235983000.0,0.41237529554235625
94,PANATLANTICA S.A.,1,2022-03-03 07:48:05,2021-01-01,2021-12-31,1992069000.0,23932000.0,148873000.0,415832000.0,0.4144956659729034
94,PANATLANTICA S.A.,2,2011-04-01 17:31:56,2010-01-01,2010-12-31,278076000.0,8856000.0,-18980000.0,21093000.0,0.1713457133109129
94,PANATLANTICA S.A.,2,2015-03-05 16:27:25,2014-01-01,2014-12-31,635008000.0,16313000.0,21597000.0,23799000.0,0.07268445983709446
140,YARA BRASIL FERTILIZANTES,1,2011-04-19 09:28:46,2010-01-01,2010-12-31,1112012.0,59667334.0,-171397.0,1323535.0,2.9876029606621985
140,YARA BRASIL FERTILIZANTES,2,2011-04-19 10:23:08,2010-01-01,2010-12-31,1112012000.0,59667334.0,-171397000.0,1323535000.0,2.9876029606621985
1520,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,1,2011-04-01 16:43:40,2010-01-01,2010-12-31,964056.0,1600000.0,96619.0,13942.0,0.024830627408795262
