cutoff_date,codneg,nomres,especi,codemi,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2011-04-11,LREN3,LOJAS RENNER,ON      NM,LREN,2011-02-16 19:53:52,2010-12-31,122349000.0,-27159000.0,404474000.0,0.4068545057129263,802891572.4112417,830050572.4112417,0.4872883815079242,1.0
2011-04-11,TOTS3,TOTVS,ON      NM,TOTS,2011-01-31 19:05:59,2010-12-31,31459000.0,179421000.0,211669000.0,0.2609984993779262,274713508.0526299,95292508.05262989,2.221255420028357,2.0
2011-04-11,BRAP4,BRADESPAR,PN      N1,BRAP,2011-03-25 16:48:14,2010-12-31,349548000.0,2471046000.0,2453397000.0,0.2584302790405772,6193350721.030798,3722304721.030798,0.6591069737355071,3.0
2011-04-11,ETER3,ETERNIT,ON      NM,ETER,2011-03-11 11:18:46,2010-12-31,89500000.0,-56717000.0,123661000.0,0.3475849701494215,304013624.68127304,360730624.68127304,0.3428070464193658,4.0
2011-04-11,POMO4,MARCOPOLO,PN      N2,POMO,2011-02-24 09:29:57,2010-12-31,448450042.0,636424000.0,363792000.0,0.2273964348355496,1153386112.0954866,516962112.09548664,0.7037111453398058,5.0
2011-04-11,ECOR3,ECORODOVIAS,ON      NM,ECOR,2011-05-16 18:50:28,2010-12-31,558699000.0,898666000.0,969445000.0,0.3608535610766739,4928156517.574814,4029490517.574814,0.24058748761703735,6.0
2011-04-11,VALE3,VALE,ON      N1,VALE,2011-02-24 23:49:15,2010-12-31,5365305000.0,30321395000.0,40442258000.0,0.2757772801107717,150675857683.9668,120354462683.9668,0.33602624363165867,7.0
2011-04-11,MDIA3,M.DIASBRANCO,ON      NM,MDIA,2011-02-28 22:53:10,2010-12-31,113450000.0,221828000.0,412735000.0,0.2082054334639026,1180897107.157697,959069107.157697,0.4303495930790472,8.0
2011-04-11,NATU3,NATURA,ON      NM,NATU,2011-02-24 10:38:54,2010-12-31,430881000.0,131434000.0,1167906000.0,0.8408637978999752,7450280622.460648,7318846622.460648,0.15957514349540253,9.0
2011-04-11,RAPT4,RANDON PART,PN      N1,RAPT,2011-03-16 07:37:57,2010-12-31,243785000.0,69816000.0,450228000.0,0.2667926080170281,1690202789.1862836,1620386789.1862836,0.2778521788776696,10.0
