Date;12 - Interest rate - CDI - % p.d.
02/01/2012;0.041028
03/01/2012;0.040992
04/01/2012;0.040992
05/01/2012;0.040884
06/01/2012;0.040920
09/01/2012;0.040777
10/01/2012;0.040813
11/01/2012;0.040777
12/01/2012;0.040741
13/01/2012;0.040777
16/01/2012;0.040777
17/01/2012;0.040741
18/01/2012;0.040705
19/01/2012;0.038946
20/01/2012;0.038982
23/01/2012;0.038982
24/01/2012;0.039018
25/01/2012;0.039018
26/01/2012;0.038946
27/01/2012;0.038910
30/01/2012;0.038910
31/01/2012;0.038946
01/02/2012;0.038910
02/02/2012;0.038910
03/02/2012;0.038982
06/02/2012;0.038910
07/02/2012;0.038910
08/02/2012;0.038874
09/02/2012;0.038910
10/02/2012;0.038910
13/02/2012;0.038838
14/02/2012;0.038874
15/02/2012;0.038874
16/02/2012;0.038838
17/02/2012;0.038982
22/02/2012;0.038874
23/02/2012;0.038874
24/02/2012;0.038946
27/02/2012;0.038946
28/02/2012;0.038838
29/02/2012;0.038802
01/03/2012;0.038802
02/03/2012;0.038766
05/03/2012;0.038766
06/03/2012;0.038730
07/03/2012;0.038622
08/03/2012;0.036129
09/03/2012;0.036056
12/03/2012;0.035948
13/03/2012;0.035875
14/03/2012;0.035839
15/03/2012;0.035839
16/03/2012;0.035984
19/03/2012;0.035948
20/03/2012;0.035948
21/03/2012;0.035948
22/03/2012;0.035948
23/03/2012;0.036093
26/03/2012;0.035984
27/03/2012;0.035984
28/03/2012;0.035948
29/03/2012;0.035948
30/03/2012;0.036093
02/04/2012;0.036020
03/04/2012;0.036020
04/04/2012;0.036129
05/04/2012;0.036093
09/04/2012;0.036020
10/04/2012;0.036093
11/04/2012;0.035984
12/04/2012;0.035948
13/04/2012;0.035948
16/04/2012;0.035911
17/04/2012;0.035875
18/04/2012;0.035911
19/04/2012;0.033182
20/04/2012;0.033219
23/04/2012;0.033365
24/04/2012;0.033182
25/04/2012;0.033182
26/04/2012;0.033182
27/04/2012;0.033219
30/04/2012;0.033109
02/05/2012;0.033328
03/05/2012;0.033328
04/05/2012;0.033146
07/05/2012;0.033146
08/05/2012;0.033073
09/05/2012;0.033073
10/05/2012;0.033036
11/05/2012;0.033036
14/05/2012;0.032854
15/05/2012;0.033182
16/05/2012;0.033219
17/05/2012;0.033255
18/05/2012;0.033328
21/05/2012;0.033219
22/05/2012;0.033365
23/05/2012;0.033401
24/05/2012;0.033401
25/05/2012;0.033438
28/05/2012;0.033401
29/05/2012;0.033438
30/05/2012;0.033511
31/05/2012;0.031756
01/06/2012;0.031792
04/06/2012;0.031829
05/06/2012;0.031866
06/06/2012;0.031719
08/06/2012;0.031866
11/06/2012;0.031719
12/06/2012;0.031792
13/06/2012;0.031829
14/06/2012;0.031792
15/06/2012;0.031719
18/06/2012;0.031829
19/06/2012;0.031719
20/06/2012;0.031902
21/06/2012;0.031939
22/06/2012;0.031866
25/06/2012;0.031939
26/06/2012;0.031829
27/06/2012;0.031902
28/06/2012;0.031866
29/06/2012;0.031939
02/07/2012;0.031866
03/07/2012;0.031866
04/07/2012;0.031902
05/07/2012;0.031866
06/07/2012;0.031792
09/07/2012;0.031866
10/07/2012;0.031719
11/07/2012;0.031646
12/07/2012;0.029993
13/07/2012;0.029919
16/07/2012;0.029993
17/07/2012;0.029883
18/07/2012;0.029809
19/07/2012;0.029919
20/07/2012;0.029956
