DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
A J RENNER SA IND E PARTIP|1969-06-24|1998-06-17|CANCELADA|1998-06-17|35|Emp. Adm. Participações|PRIVADO
ALPART ALPA PARTICIPACOES SA|1982-09-03|1989-10-19|CANCELADA|1989-10-19|310|Emp. Adm. Participações|PRIVADO
AMERICA DO SUL LEAS SA ARR MER|1982-09-28|2000-03-02|CANCELADA|2000-03-02|388|Arrendamento Mercantil|PRIVADO
AUXILIAR LEASING SA ARR MERC|1981-11-26|1991-01-30|CANCELADA|1991-01-30|655|Arrendamento Mercantil|PRIVADO
HSBC SEGUROS BRASIL SA|1977-07-20|2000-12-26|CANCELADA|2000-12-26|728|Seguradoras e Corretoras|PRIVADO
HSBC LEASING A.M.(BRASIL) SA|1981-09-23|1999-12-23|CANCELADA|1999-12-23|736|Arrendamento Mercantil|PRIVADO
BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL|1977-07-20|2007-01-09|CANCELADA|2007-01-09|744|Emp. Adm. Part. - Intermediação Financeira|PRIVADO
BAMERINDUS SA CRED IMOBILIARIO|1977-07-20|1987-11-27|CANCELADA|1987-11-27|752|Crédito Imobiliário|PRIVADO
BAMERINDUS SA FINANC CRED INV|1977-07-20|1989-05-09|CANCELADA|1989-05-09|760|Bancos|PRIVADO
BANCO AGRIMISA SA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|779|Bancos|PRIVADO
BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.|1977-07-20|2000-08-24|CANCELADA|2000-08-24|787|Bancos|PRIVADO
BANCO CREFISUL S.A.|1977-07-20|2006-05-09|CANCELADA|2006-05-09|795|Bancos|PRIVADO
BCO AUXILIAR SA|1969-12-02|1991-01-30|CANCELADA|1991-01-30|809|Bancos|PRIVADO
BCO BAMERINDUS INVS SA|1977-07-20|1988-11-10|CANCELADA|1988-11-10|817|Bancos|PRIVADO
BANCO BAMERINDUS BRASIL SA|1977-07-20|2006-07-18|CANCELADA|2006-07-18|825|Bancos|PRIVADO
BANCO BANDEIRANTES DE INVESTIMENTOS SA|1977-07-20|2001-10-31|CANCELADA|2001-10-31|833|Bancos|PRIVADO
UNICARD BANCO MULTIPLO S.A.|1977-07-20|2002-11-28|CANCELADA|2002-11-28|841|Bancos|PRIVADO
BANCO BOAVISTA INTERATLÂNTICO S.A.|1977-07-20|1999-12-08|CANCELADA|1999-12-08|850|Bancos|PRIVADO
BCO BRADESCO INVESTIMENTO SA|1977-07-20|1992-11-26|CANCELADA|1992-11-26|884|Bancos|PRIVADO
BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA|1981-01-30|2006-07-18|CANCELADA|2006-07-18|892|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
BANCO BRADESCO S.A.|1977-07-20||ATIVO|1977-07-20|906|Bancos|PRIVADO
BANCO ITABANCO S/A|1977-07-20|1996-03-08|CANCELADA|1996-03-08|914|Bancos|PRIVADO
BANCO BOCOM BBM S.A.|1977-07-20|1993-07-26|CANCELADA|1993-07-26|930|Bancos|PRIVADO
BANCO BCN S.A.|1977-07-20|1998-07-28|CANCELADA|1998-07-28|957|Bancos|PRIVADO
BCR BCO CREDITO REAL SA|1977-07-20|1999-02-08|CANCELADA|1999-02-08|965|Bancos|PRIVADO
BCO CREDIPLAN SA|1977-07-20|1996-07-10|CANCELADA|1996-07-10|973|Bancos|PRIVADO
BCO INV AMERICA SUL SA|1977-07-20|1989-05-19|CANCELADA|1989-05-19|990|Bancos|PRIVADO
BANCO ÚNICO S.A.|1977-07-20|1990-08-09|CANCELADA|1990-08-09|1015|Bancos|PRIVADO
BANCO COMERCIAL BANCESA S.A.|1977-07-20|2005-03-22|CANCELADA|2005-03-22|1031|Bancos|PRIVADO
COMIND PARTICIPACOES SA|1969-09-18|2006-03-21|CANCELADA|2006-03-21|1058|Emp. Adm. Part. - Intermediação Financeira|PRIVADO
BANCO BANEB SA|1977-07-20|2000-12-01|CANCELADA|2000-12-01|1066|Bancos|PRIVADO
BANCO BEG S.A.|1977-07-20|2003-08-29|CANCELADA|2003-08-29|1074|Bancos|PRIVADO
BANCO DE PERNAMBUCO S.A. - BANDEPE|1977-07-20|2003-03-24|CANCELADA|2003-03-24|1090|Bancos|PRIVADO
BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA|1977-07-20|2006-08-31|CANCELADA|2006-08-31|1112|Bancos|PRIVADO
BANCO BEA SA|1977-07-20|2003-01-30|CANCELADA|2003-01-30|1139|Bancos|PRIVADO
BANCO BRADESCO BBI S.A.|1978-11-13|2004-08-06|CANCELADA|2004-08-06|1163|Bancos|PRIVADO
BANCO BANESTADO SA|1977-07-20|2003-08-29|CANCELADA|2003-08-29|1180|Bancos|PRIVADO
BANCO BRADESCO BERJ S.A.|1977-07-20|2012-06-11|CANCELADA|2012-06-11|1201|Bancos|PRIVADO
BANCO DO PROGRESSO S.A.|1977-07-20|2007-01-09|CANCELADA|2007-01-09|1236|Bancos|PRIVADO
BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL|1977-07-20||ATIVO|1977-07-20|1244|Bancos|PRIVADO
BANCO FENICIA SA|1977-07-20|1995-11-06|CANCELADA|1995-11-06|1252|Bancos|PRIVADO
