CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
08.773.135/0001-00;2W ENERGIA S.A.;;2020-10-29;2007-03-23;;;ATIVO;2020-10-29;25224;Construção Civil, Mat. Constr. e Decoração;;Categoria A;2020-10-29;FASE OPERACIONAL;2020-07-16;PRIVADO;SEDE;AV. ROQUE PETRONI JUNIOR;Nº 1.089, SALA 1.101;JARDIM DAS ACáCIAS;SÃO PAULO;SP;;4707000;11;39579400;11;39579499;ri@2wenergia.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;EDUARDO URQUIZA FERNANDES PORTELADA;2022-05-10;AV. DOUTOR CHUCRI ZAIDAN 1.240;SALA 2.701, 27º AN;VILA SÃO FRANCISCO;SÃO PAULO;SP;;4707000;11;39579400;;;ri@2wenergia.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
11.396.633/0001-87;3A COMPANHIA SECURITIZADORA;TRIPLO A  COMPANHIA SECURITIZADORA;2010-03-08;2009-11-03;2015-12-18;Cancelamento Voluntário - IN CVM 480/09;CANCELADA;2015-12-18;21954;Securitização de Recebíveis;;Categoria B;2010-03-08;FASE PRÉ-OPERACIONAL;2010-03-08;PRIVADO;SEDE;Avenida Erasmo Braga, nº. 299;sala 703;Centro;RIO DE JANEIRO;RJ;BRASIL;20020000;21;22338867;21;22338867;dri@3asec.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;FELIPE MARQUES DA FONSECA;2011-06-16;AVENIDA ERASMO BRAGA, Nº. 299;SALA 703;CENTRO;RIO DE JANEIRO;RJ;;20020000;21;22338867;21;22338867;juridico@triploasec.com.br;60.525.706/0001-07;MOORE STEPHENS LIMA LUCCHESI AUDITORES INDEPENDENTES
12.091.809/0001-55;3R PETROLEUM OLÉO E GÁS S.A.;;2020-11-09;2010-06-08;;;ATIVO;2020-11-09;25291;Petróleo e Gás;BOLSA;Categoria A;2020-11-09;FASE OPERACIONAL;2020-08-31;PRIVADO;SEDE;PRAIA DE BOTAFOGO, 186;SL 1301, 1401, 1501;BOTAFOGO;RIO DE JANEIRO;RJ;;22250145;21;21455555;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;RODRIGO PIZARRO LAVALLE DA SILVA;2020-08-13;RUA VISCONDE DE OURO PRETO;5, SL 601;BOTAFOGO;RIO DE JANEIRO;RJ;;22250180;21;21455555;0;0;ri@3rpetroleum.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
01.547.749/0001-16;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;521 PARTICIPAÇÕES S/A;1997-07-11;1996-07-30;;;ATIVO;1997-07-11;16330;Emp. Adm. Part. - Energia Elétrica;;Categoria B;2011-04-28;LIQUIDAÇÃO EXTRAJUDICIAL;2015-04-30;PRIVADO;SEDE;RUA DA ASSEMBLEIA, Nº 10, 37º ANDAR;3701;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20011901;21;25560809;21;25560809;eximia@eximiacapital.com;;;;;;;;;;;;;;;;18.596.945/0001-83;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES S/S
01.851.771/0001-55;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;1997-05-30;1997-04-02;;;ATIVO;1997-05-30;16284;Emp. Adm. Part. - Sem Setor Principal;;Categoria A;2010-01-01;FASE OPERACIONAL;1997-05-30;PRIVADO HOLDING;SEDE;AV. PRESIDENTE ANTôNIO CARLOS, Nº 51;10º ANDAR (PTE);CENTRO;RIO DE JANEIRO;RJ;;20020010;21;38043700;21;38043480;gar@opportunity.com.br.;DIRETOR DE RELAÇÕES COM INVESTIDORES;NORBERTO AGUIAR TOMAZ;2022-05-06;AV. PRESIDENTE ANTÔNIO CARLOS;51;CENTRO;RIO DE JANEIRO;RJ;;20020010;21;38043700;0;0;gar@opportunity.com.br;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES
01.919.008/0001-19;525 PARTICIPAÇOES SA;525 PARTICIPACOES SA;1997-07-16;1997-04-02;2006-05-30;ELISÃO POR INCORPORAÇÃO;CANCELADA;2006-05-30;16349;Emp. Adm. Part. - Sem Setor Principal;;;;;;PRIVADO HOLDING;SEDE;RUA LAURO MULLER;116, SALA 2201;BOTAFOGO;RIO DE JANEIRO;RJ;BRASIL;22290160;21;21967200;21;21967201;;DIRETOR DE RELAÇÕES COM INVESTIDORES;KEVIN MICHAEL ALTIT;2005-06-14;RUA LAURO MULLER 116;2201 (PARTE);BOTAFOGO;RIO DE JANEIRO;RJ;;22290160;21;21967200;21;21967201;kevin@mattosfilho.com.br;11.245.719/0001-09;DIRECTA AUDITORES
92.659.614/0001-06;A J RENNER SA IND E PARTIP;A J RENNER;1969-06-24;;1998-06-17;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA;1998-06-17;35;Emp. Adm. Participações;;;;;;PRIVADO;SEDE;R FREDERICO MENTZ 1606;;;PORTO ALEGRE;RS;BRASIL;90240111;51;3372033;51;3423595;;DIRETOR DE RELAÇÕES COM INVESTIDORES;VERNER EGON RENNER;1969-06-24;RUA FREDERICO MENTZ, 1606;;;PORTO ALEGRE;RS;;90000000;51;3142033;0051;3743595;;44.038.248/0001-17;ARTHUR ANDERSEN BIEDERMANN A I
02.288.752/0001-25;A.P. PARTICIPAÇOES SA;A.P. PARTICIPAÇÕES S.A.;1998-01-21;1997-12-14;2004-12-23;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA;2004-12-23;16802;Emp. Adm. Participações;;;;;;ESTATAL;SEDE;AV. PRESIDENTE WILSON, 231 - 2;7º ANDAR;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20030021;21;22208866;21;25333830;contabilidade3@acal.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;GILBERTO AUDELINO CORREA;2004-10-11;RUA CEARá;1305/802;FUNCIONáRIOS;BELO HORIZONTE;MG;;30150311;31;32354268;31;32737218;gilberto@acesita.com.br;02.248.211/0001-73;CANARIM AUDITORES ASSOCIADOS
21.649.280/0001-33;ABC DADOS E INFORMATICA SA;ABC COMPUTADORES;1988-06-03;;1993-03-05;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA;1993-03-05;13307;Máquinas, Equipamentos, Veículos e Peças;;;;;;PRIVADO;SEDE;RUA FLORIDA 1670 12AND;;;SÃO PAULO;SP;BRASIL;4565000;11;5427188;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOSE GABRIEL CORREIA DAVID;1988-06-03;RUA FLORIDA 1670 12AND;;;SÃO PAULO;SP;;21510000;21;5427188;0021;;;33.017.310/0001-78;RUHTRA S/C
02.258.274/0001-00;ABC SUPERMERCADOS SA;ABC SUPERMERCADOS;1998-02-27;1997-09-30;2001-12-17;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA;2001-12-17;16934;Comércio (Atacado e Varejo);;;;;;PRIVADO;SEDE;RUA PAULO BARBOSA, 161/201;;CENTRO;PETRÓPOLIS;RJ;BRASIL;25635000;24;2331415;24;2311222;mfranca@abcsa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;MARCELO FRANÇA DE LIMA;1998-02-27;RUA TEREZA 1415;;ALTO DA SERRA;PETRÓPOLIS;RJ;;25635000;24;2331415;24;2311231;mfranca@abcsa.com.br;33.017.310/0001-78;RUHTRA S/C
