;Date;rate
0;2012-01-02;0.041028
1;2012-01-03;0.040992
2;2012-01-04;0.040992
3;2012-01-05;0.040884
4;2012-01-06;0.04092
5;2012-01-09;0.040777
6;2012-01-10;0.040813
7;2012-01-11;0.040777
8;2012-01-12;0.040741
9;2012-01-13;0.040777
10;2012-01-16;0.040777
11;2012-01-17;0.040741
12;2012-01-18;0.040705
13;2012-01-19;0.038946
14;2012-01-20;0.038982
15;2012-01-23;0.038982
16;2012-01-24;0.039018
17;2012-01-25;0.039018
18;2012-01-26;0.038946
19;2012-01-27;0.03891
20;2012-01-30;0.03891
21;2012-01-31;0.038946
22;2012-02-01;0.03891
23;2012-02-02;0.03891
24;2012-02-03;0.038982
25;2012-02-06;0.03891
26;2012-02-07;0.03891
27;2012-02-08;0.038874
28;2012-02-09;0.03891
29;2012-02-10;0.03891
30;2012-02-13;0.038838
31;2012-02-14;0.038874
32;2012-02-15;0.038874
33;2012-02-16;0.038838
34;2012-02-17;0.038982
35;2012-02-22;0.038874
36;2012-02-23;0.038874
37;2012-02-24;0.038946
38;2012-02-27;0.038946
39;2012-02-28;0.038838
40;2012-02-29;0.038802
41;2012-03-01;0.038802
42;2012-03-02;0.038766
43;2012-03-05;0.038766
44;2012-03-06;0.03873
45;2012-03-07;0.038622
46;2012-03-08;0.036129
47;2012-03-09;0.036056
48;2012-03-12;0.035948
49;2012-03-13;0.035875
50;2012-03-14;0.035839
51;2012-03-15;0.035839
52;2012-03-16;0.035984
53;2012-03-19;0.035948
54;2012-03-20;0.035948
55;2012-03-21;0.035948
56;2012-03-22;0.035948
57;2012-03-23;0.036093
58;2012-03-26;0.035984
59;2012-03-27;0.035984
60;2012-03-28;0.035948
61;2012-03-29;0.035948
62;2012-03-30;0.036093
63;2012-04-02;0.03602
64;2012-04-03;0.03602
65;2012-04-04;0.036129
66;2012-04-05;0.036093
67;2012-04-09;0.03602
68;2012-04-10;0.036093
69;2012-04-11;0.035984
70;2012-04-12;0.035948
71;2012-04-13;0.035948
72;2012-04-16;0.035911
73;2012-04-17;0.035875
74;2012-04-18;0.035911
75;2012-04-19;0.033182
76;2012-04-20;0.033219
77;2012-04-23;0.033365
78;2012-04-24;0.033182
79;2012-04-25;0.033182
80;2012-04-26;0.033182
81;2012-04-27;0.033219
82;2012-04-30;0.033109
83;2012-05-02;0.033328
84;2012-05-03;0.033328
85;2012-05-04;0.033146
86;2012-05-07;0.033146
87;2012-05-08;0.033073
88;2012-05-09;0.033073
89;2012-05-10;0.033036
90;2012-05-11;0.033036
91;2012-05-14;0.032854
92;2012-05-15;0.033182
93;2012-05-16;0.033219
94;2012-05-17;0.033255
95;2012-05-18;0.033328
96;2012-05-21;0.033219
97;2012-05-22;0.033365
98;2012-05-23;0.033401
99;2012-05-24;0.033401
100;2012-05-25;0.033438
101;2012-05-28;0.033401
102;2012-05-29;0.033438
103;2012-05-30;0.033511
104;2012-05-31;0.031756
105;2012-06-01;0.031792
106;2012-06-04;0.031829
107;2012-06-05;0.031866
108;2012-06-06;0.031719
109;2012-06-08;0.031866
110;2012-06-11;0.031719
111;2012-06-12;0.031792
112;2012-06-13;0.031829
113;2012-06-14;0.031792
114;2012-06-15;0.031719
115;2012-06-18;0.031829
116;2012-06-19;0.031719
117;2012-06-20;0.031902
118;2012-06-21;0.031939
119;2012-06-22;0.031866
120;2012-06-25;0.031939
121;2012-06-26;0.031829
122;2012-06-27;0.031902
123;2012-06-28;0.031866
124;2012-06-29;0.031939
125;2012-07-02;0.031866
126;2012-07-03;0.031866
127;2012-07-04;0.031902
128;2012-07-05;0.031866
129;2012-07-06;0.031792
130;2012-07-09;0.031866
131;2012-07-10;0.031719
132;2012-07-11;0.031646
133;2012-07-12;0.029993
134;2012-07-13;0.029919
135;2012-07-16;0.029993
136;2012-07-17;0.029883
137;2012-07-18;0.029809
138;2012-07-19;0.029919
139;2012-07-20;0.029956
140;2012-07-23;0.029956
141;2012-07-24;0.029883
142;2012-07-25;0.029956
143;2012-07-26;0.029846
144;2012-07-27;0.029772
145;2012-07-30;0.029919
146;2012-07-31;0.029919
147;2012-08-01;0.029919
148;2012-08-02;0.029883
149;2012-08-03;0.029919
150;2012-08-06;0.029883
151;2012-08-07;0.029883
152;2012-08-08;0.029883
153;2012-08-09;0.029883
154;2012-08-10;0.029883
155;2012-08-13;0.029809
156;2012-08-14;0.029919
157;2012-08-15;0.029919
158;2012-08-16;0.029883
159;2012-08-17;0.029956
160;2012-08-20;0.029993
161;2012-08-21;0.029883
162;2012-08-22;0.029846
163;2012-08-23;0.029846
164;2012-08-24;0.029883
165;2012-08-27;0.029919
166;2012-08-28;0.029919
167;2012-08-29;0.029883
168;2012-08-30;0.028259
169;2012-08-31;0.028259
170;2012-09-03;0.02837
171;2012-09-04;0.028296
172;2012-09-05;0.028296
173;2012-09-06;0.028296
174;2012-09-10;0.028259
175;2012-09-11;0.028222
176;2012-09-12;0.028186
177;2012-09-13;0.028186
178;2012-09-14;0.028149
179;2012-09-17;0.028112
180;2012-09-18;0.028075
181;2012-09-19;0.028075
182;2012-09-20;0.028149
183;2012-09-21;0.028149
184;2012-09-24;0.028149
185;2012-09-25;0.028259
186;2012-09-26;0.028222
187;2012-09-27;0.028186
188;2012-09-28;0.028186
189;2012-10-01;0.028186
190;2012-10-02;0.028149
191;2012-10-03;0.028186
192;2012-10-04;0.028186
193;2012-10-05;0.028186
194;2012-10-08;0.028186
195;2012-10-09;0.028149
196;2012-10-10;0.028075
197;2012-10-11;0.027001
198;2012-10-15;0.027001
199;2012-10-16;0.027038
