DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
ACOPALMA CIA INDL ACOS V PALMA|1978-05-09|2007-08-07|CANCELADA|2007-08-07|60|Metalurgia e Siderurgia|PRIVADO
ACOS ANHANGUERA SA|1971-10-20|1994-02-09|CANCELADA|1994-02-09|78|Metalurgia e Siderurgia|PRIVADO
ACOS DO BRASIL SA IND E COM|1972-08-16|1989-12-14|CANCELADA|1989-12-14|86|Metalurgia e Siderurgia|PRIVADO
PANATLANTICA SA|1971-12-29||ATIVO|1971-12-29|94|Metalurgia e Siderurgia|PRIVADO
ACRINOR ACRILONITRILA DO NE SA|1981-12-23|2000-02-21|CANCELADA|2000-02-21|116|Petroquímicos e Borracha|PRIVADO
ADESENE ADESIVOS NO NORDESTE SA|1974-12-10|2005-08-09|CANCELADA|2005-08-09|132|Petroquímicos e Borracha|PRIVADO
ADUBOS VIANNA SA INDUSTRIA E COMERCIO|1969-09-22|2005-12-20|CANCELADA|2005-12-20|159|Petroquímicos e Borracha|PRIVADO
AEROFOTO CRUZEIRO SA|1977-07-20|1992-12-01|CANCELADA|1992-12-01|167|Serviços Diversos|PRIVADO
AGGS INDS GRAFICAS SA|1971-05-14|1987-05-04|CANCELADA|1987-05-04|175|Gráficas e Editoras|PRIVADO
AGRALE SA|1977-07-20|2000-06-26|CANCELADA|2000-06-26|183|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
AGRO PASTORIL CARIRI SA CARIRISA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|205|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
AGROPECUARIA TAMAKAVY SA|1983-09-16|1988-02-25|CANCELADA|1988-02-25|213|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
AGRONORTE SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|221|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO|1977-07-20|2005-08-05|CANCELADA|2005-08-05|248|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ALFA NORDESTE SA INDUSTRIA DO VESTUARIO|1980-11-17|2007-11-13|CANCELADA|2007-11-13|272|Têxtil e Vestuário|PRIVADO
ALFRED SA COMERCIO DO VESTUARIO|1982-01-22|2005-08-09|CANCELADA|2005-08-09|280|Têxtil e Vestuário|PRIVADO
ALMEC INDUSTRIAS MECANICA SA|1975-01-03|2005-03-22|CANCELADA|2005-03-22|302|Metalurgia e Siderurgia|PRIVADO
ALPINA BRASIL SA MAQ IMP AGRIC|1976-08-20|2005-08-09|CANCELADA|2005-08-09|329|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ALPLAN SA IND COM CH MAD AGLOM|1982-12-02|1989-08-02|CANCELADA|1989-08-02|337|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ALUSUD ALUMINIO DO SUL SA|1975-12-17|1987-05-15|CANCELADA|1987-05-15|353|Metalurgia e Siderurgia|PRIVADO
AMADEO ROSSI SA MET MUNICOES|1971-12-08|2002-09-18|CANCELADA|2002-09-18|361|Metalurgia e Siderurgia|PRIVADO
AMAZONAS PRODS P CALCADOS SA|1983-02-28|1988-06-15|CANCELADA|1988-06-15|370|Têxtil e Vestuário|PRIVADO
