,cia_id,cia_nome,doc_env,per_ini,per_fim,shares_outstanding,ebit,roic
0,94,PANATLANTICA S.A.,2011-03-31 10:16:48,2010-01-01,2010-12-31,8856000.0,24777000.0,0.2000985269414653
1,94,PANATLANTICA S.A.,2011-04-01 17:31:56,2010-01-01,2010-12-31,8856000.0,21093000.0,0.1713457133109129
2,94,PANATLANTICA S.A.,2012-03-20 15:20:37,2011-01-01,2011-12-31,9480000.0,8720000.0,0.07757040937961464
3,94,PANATLANTICA S.A.,2013-03-08 16:12:09,2012-01-01,2012-12-31,9778000.0,15767000.0,0.10785722103650194
4,94,PANATLANTICA S.A.,2014-03-18 10:38:57,2013-01-01,2013-12-31,12587000.0,68165000.0,0.21980909999677534
5,94,PANATLANTICA S.A.,2015-03-05 10:31:43,2014-01-01,2014-12-31,16313000.0,23799000.0,0.07268445983709446
6,94,PANATLANTICA S.A.,2015-03-05 16:27:25,2014-01-01,2014-12-31,16313000.0,23799000.0,0.07268445983709446
7,94,PANATLANTICA S.A.,2016-03-18 09:45:41,2015-01-01,2015-12-31,16510000.0,22313000.0,0.06439817019495793
8,94,PANATLANTICA S.A.,2017-03-17 09:13:26,2016-01-01,2016-12-31,17451000.0,28238000.0,0.07760741170294924
9,94,PANATLANTICA S.A.,2018-02-26 08:59:18,2017-01-01,2017-12-31,17636000.0,38411000.0,0.09340038078934762
10,94,PANATLANTICA S.A.,2019-02-28 10:52:23,2018-01-01,2018-12-31,17839000.0,70435000.0,0.1403694425678032
11,94,PANATLANTICA S.A.,2020-02-28 10:03:59,2019-01-01,2019-12-31,18270000.0,41713000.0,0.09188715280454843
12,94,PANATLANTICA S.A.,2021-02-26 08:24:46,2020-01-01,2020-12-31,18270000.0,235983000.0,0.41237529554235625
13,94,PANATLANTICA S.A.,2022-03-03 07:48:05,2021-01-01,2021-12-31,23932000.0,415832000.0,0.4144956659729034
14,140,YARA BRASIL FERTILIZANTES,2011-04-19 09:28:46,2010-01-01,2010-12-31,59667334.0,1323535.0,2.9876029606621985
15,140,YARA BRASIL FERTILIZANTES,2011-04-19 10:23:08,2010-01-01,2010-12-31,59667334.0,1323535000.0,2.9876029606621985
16,701,BAHEMA EDUCAÇÃO S.A.,2011-03-04 14:30:06,2010-01-01,2010-12-31,5451213.0,48339000.0,-150.58878504672896
29,1520,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2011-04-01 16:43:40,2010-01-01,2010-12-31,1600000.0,13942.0,0.024830627408795262
