rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2011-04-11,AUTM3,AUTOMETAL,22381,2011-02-28 14:52:34,2010-12-31,94.425,252.10699999999997,247.233,1.1219550733307204,1606.1692500000001,1858.2762500000001,0.13304426615795148,1
2011-04-11,ETER3,ETERNIT,5762,2011-03-11 11:18:46,2010-12-31,89.5,-56.717,123.661,0.2950365649547593,987.185,930.468,0.1329019375196138,2
2011-04-11,TOTS3,TOTVS,19992,2011-01-31 19:05:59,2010-12-31,31.459,179.42099999999996,211.669,0.1854495276199933,994.1044,1173.5254,0.1803701905386965,3
2011-04-11,VALE5,VALE,4170,2011-02-24 23:49:15,2010-12-31,5365.305,30321.395,40442.258,0.2066511812356116,254959.29360000003,285280.68860000005,0.14176304115945684,4
2011-04-11,RAPT4,RANDON PART,14109,2011-03-16 07:37:57,2010-12-31,243.785,69.81600000000026,450.228,0.1908301983243703,2913.2307499999997,2983.04675,0.1509289118583207,5
2011-04-11,BRAP4,BRADESPAR,18724,2011-03-25 16:48:14,2010-12-31,349.548,2471.046,2453.397,0.1983924429535447,15082.9962,17554.0422,0.13976251008442944,6
2011-04-11,HBOR3,HELBOR,20877,2011-03-17 09:40:09,2010-12-31,65.097,246.74700000000007,198.056,0.1884099799651191,1346.85693,1593.60393,0.12428182202085811,7
2011-04-11,FESA4,FERBASA,3069,2011-03-29 09:47:43,2010-12-31,88.32,-383.574,125.956,0.1474225034403506,1201.1519999999998,817.5779999999997,0.15405991844203248,8
2011-04-11,DIRR3,DIRECIONAL,21350,2011-04-05 16:03:49,2010-12-31,133.407162,111.52300000000002,158.758,0.2154753585933885,1444.79956446,1556.3225644600002,0.10200841626625425,9
2011-04-11,TGMA3,TEGMA,20800,2011-03-01 23:08:15,2010-12-31,66.003,13.009999999999998,168.438,0.2845964876350417,1693.63698,1706.64698,0.09869527909046544,10
2011-04-11,FHER3,FER HERINGER,20621,2011-03-14 17:03:24,2010-12-31,48.471,606.485,169.658,0.1360030219039452,498.28187999999994,1104.76688,0.15356904978903785,11
2011-04-11,CCIM3,CC DES IMOB,20486,2011-03-21 21:32:57,2010-12-31,113.0,522.616,193.84,0.1350209759212255,750.3199999999999,1272.936,0.15227788356995167,12
2011-04-11,JHSF3,JHSF PART,20605,2011-03-30 13:02:47,2010-12-31,426.374825,31.993999999999915,235.025,0.1607369903412629,1837.6754957499998,1869.6694957499997,0.12570403514323905,13
2011-04-11,BRKM5,BRASKEM,4820,2011-03-17 09:14:46,2010-12-31,801.665,9867.897,3214.961,0.1767898836866923,18085.5624,27953.4594,0.11501120322874957,14
2011-04-11,UGPA4,ULTRAPAR,18465,2011-02-24 00:53:54,2010-12-31,136.095999,2195.4060000000004,1245.517,0.1176997889528107,3865.1263716,6060.5323716,0.20551280376564995,15
2011-04-11,EVEN3,EVEN,20524,2011-03-29 16:21:41,2010-12-31,233.293408,663.029,336.447,0.1454383749520237,1994.6586384000002,2657.6876384,0.12659388377279363,16
2011-04-11,EZTC3,EZTEC,20770,2011-03-22 21:04:06,2010-12-31,146.72412,-135.131,227.177,0.1736672315160472,2189.1238703999998,2053.9928704,0.11060262344326392,17
2011-04-11,ALPA4,ALPARGATAS,10456,2011-03-30 16:55:23,2010-12-31,353.456,-358.7049999999999,324.225,0.2098675409655994,4011.7256,3653.0206000000003,0.08875531662756021,18
2011-04-11,GRND3,GRENDENE,19615,2011-02-25 09:54:33,2010-12-31,300.72,-852.4929999999999,208.413,0.1717741041190045,2926.0056000000004,2073.5126000000005,0.10051204897428642,19
2011-04-11,MYPK3,IOCHP-MAXION,11932,2011-02-23 21:34:45,2010-12-31,98.537,408.15,261.557,0.150581968121158,2160.9164100000003,2569.0664100000004,0.10181013576834706,20
